,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
25,01/26/2024,"AlAhad, 26 Muharram, 2024",05:57 AM,06:07 AM,07:22 AM,12:08 PM,12:15 PM,02:32 PM,03:00 PM,04:54 PM,04:59 PM,06:20 PM,06:30 PM,12:15 PM,1:15 PM
26,01/27/2024,"AlEthnien, 27 Muharram, 2024",05:56 AM,06:06 AM,07:21 AM,12:08 PM,12:15 PM,02:34 PM,03:00 PM,04:55 PM,05:00 PM,06:21 PM,06:30 PM,12:15 PM,1:15 PM
27,01/28/2024,"AthThulatha, 28 Muharram, 2024",05:55 AM,06:05 AM,07:20 AM,12:08 PM,12:15 PM,02:35 PM,03:00 PM,04:57 PM,05:02 PM,06:22 PM,07:00 PM,12:15 PM,1:15 PM
28,01/29/2024,"AlArbia'a, 29 Muharram, 2024",05:54 AM,06:04 AM,07:19 AM,12:09 PM,12:15 PM,02:36 PM,03:00 PM,04:58 PM,05:03 PM,06:23 PM,07:00 PM,12:15 PM,1:15 PM
29,01/30/2024,"AlKhamis, 30 Muharram, 2024",05:53 AM,06:03 AM,07:18 AM,12:09 PM,12:15 PM,02:37 PM,03:00 PM,05:00 PM,05:05 PM,06:25 PM,07:00 PM,12:15 PM,1:15 PM
30,01/31/2024,"AlJumaa, 31 Muharram, 2024",05:52 AM,06:02 AM,07:16 AM,12:09 PM,12:15 PM,02:38 PM,03:00 PM,05:01 PM,05:06 PM,06:26 PM,07:00 PM,12:15 PM,1:15 PM
31,02/01/2024,"AsSabt, 01 Safar, 2024",05:51 AM,06:01 AM,07:15 AM,12:09 PM,12:15 PM,02:40 PM,03:00 PM,05:02 PM,05:07 PM,06:27 PM,07:00 PM,12:15 PM,1:15 PM
32,02/02/2024,"AlAhad, 02 Safar, 2024",05:50 AM,06:00 AM,07:14 AM,12:09 PM,12:15 PM,02:41 PM,03:00 PM,05:04 PM,05:09 PM,06:28 PM,07:00 PM,12:15 PM,1:15 PM
33,02/03/2024,"AlEthnien, 03 Safar, 2024",05:49 AM,05:59 AM,07:13 AM,12:09 PM,12:15 PM,02:42 PM,03:00 PM,05:05 PM,05:10 PM,06:30 PM,07:00 PM,12:15 PM,1:15 PM
34,02/04/2024,"AthThulatha, 04 Safar, 2024",05:48 AM,05:58 AM,07:11 AM,12:09 PM,12:15 PM,02:43 PM,03:00 PM,05:07 PM,05:12 PM,06:31 PM,07:00 PM,12:15 PM,1:15 PM
35,02/05/2024,"AlArbia'a, 05 Safar, 2024",05:47 AM,05:57 AM,07:10 AM,12:09 PM,12:15 PM,02:44 PM,03:00 PM,05:08 PM,05:13 PM,06:32 PM,07:00 PM,12:15 PM,1:15 PM
36,02/06/2024,"AlKhamis, 06 Safar, 2024",05:45 AM,05:55 AM,07:09 AM,12:10 PM,12:15 PM,02:45 PM,03:00 PM,05:10 PM,05:15 PM,06:34 PM,07:00 PM,12:15 PM,1:15 PM
37,02/07/2024,"AlJumaa, 07 Safar, 2024",05:45 AM,05:55 AM,07:09 AM,12:10 PM,12:15 PM,02:45 PM,03:00 PM,05:10 PM,05:15 PM,06:34 PM,07:00 PM,12:15 PM,1:15 PM
38,02/08/2024,"AsSabt, 08 Safar, 2024",05:44 AM,05:54 AM,07:08 AM,12:10 PM,12:15 PM,02:47 PM,03:00 PM,05:11 PM,05:16 PM,06:35 PM,07:00 PM,12:15 PM,1:15 PM
39,02/09/2024,"AlAhad, 09 Safar, 2024",05:42 AM,05:52 AM,07:05 AM,12:10 PM,12:15 PM,02:49 PM,03:00 PM,05:14 PM,05:19 PM,06:38 PM,07:00 PM,12:15 PM,1:15 PM
40,02/10/2024,"AlEthnien, 10 Safar, 2024",05:40 AM,05:50 AM,07:03 AM,12:10 PM,12:15 PM,02:50 PM,03:00 PM,05:16 PM,05:21 PM,06:39 PM,07:00 PM,12:15 PM,1:15 PM
41,02/11/2024,"AthThulatha, 11 Safar, 2024",05:39 AM,05:59 AM,07:02 AM,12:10 PM,12:15 PM,02:51 PM,03:30 PM,05:17 PM,05:22 PM,06:40 PM,07:00 PM,12:15 PM,1:15 PM
42,02/12/2024,"AlArbia'a, 12 Safar, 2024",05:38 AM,05:58 AM,07:00 AM,12:10 PM,12:15 PM,02:52 PM,03:30 PM,05:19 PM,05:24 PM,06:42 PM,07:00 PM,12:15 PM,1:15 PM
43,02/13/2024,"AlKhamis, 13 Safar, 2024",05:36 AM,05:56 AM,06:59 AM,12:10 PM,12:15 PM,02:54 PM,03:30 PM,05:20 PM,05:25 PM,06:43 PM,07:00 PM,12:15 PM,1:15 PM
44,02/14/2024,"AlJumaa, 14 Safar, 2024",05:35 AM,05:55 AM,06:57 AM,12:10 PM,12:15 PM,02:55 PM,03:30 PM,05:21 PM,05:26 PM,06:44 PM,07:00 PM,12:15 PM,1:15 PM
45,02/15/2024,"AsSabt, 15 Safar, 2024",05:34 AM,05:54 AM,06:56 AM,12:10 PM,12:15 PM,02:56 PM,03:30 PM,05:23 PM,05:28 PM,06:46 PM,07:00 PM,12:15 PM,1:15 PM
46,02/16/2024,"AlAhad, 16 Safar, 2024",05:32 AM,05:52 AM,06:54 AM,12:09 PM,12:15 PM,02:57 PM,03:30 PM,05:24 PM,05:29 PM,06:47 PM,07:00 PM,12:15 PM,1:15 PM
47,02/17/2024,"AlEthnien, 17 Safar, 2024",05:31 AM,05:51 AM,06:53 AM,12:09 PM,12:15 PM,02:58 PM,03:30 PM,05:26 PM,05:31 PM,06:48 PM,07:00 PM,12:15 PM,1:15 PM
48,02/18/2024,"AthThulatha, 18 Safar, 2024",05:29 AM,05:49 AM,06:51 AM,12:09 PM,12:15 PM,02:59 PM,03:30 PM,05:27 PM,05:32 PM,06:50 PM,07:00 PM,12:15 PM,1:15 PM
49,02/19/2024,"AlArbia'a, 19 Safar, 2024",05:28 AM,05:48 AM,06:49 AM,12:09 PM,12:15 PM,03:00 PM,03:30 PM,05:29 PM,05:34 PM,06:51 PM,07:00 PM,12:15 PM,1:15 PM
50,02/20/2024,"AlKhamis, 20 Safar, 2024",05:26 AM,05:46 AM,06:48 AM,12:09 PM,12:15 PM,03:01 PM,03:30 PM,05:30 PM,05:35 PM,06:52 PM,07:00 PM,12:15 PM,1:15 PM
51,02/21/2024,"AlJumaa, 21 Safar, 2024",05:24 AM,05:44 AM,06:46 AM,12:09 PM,12:15 PM,03:02 PM,03:30 PM,05:32 PM,05:37 PM,06:54 PM,07:00 PM,12:15 PM,1:15 PM
52,02/22/2024,"AsSabt, 22 Safar, 2024",05:24 AM,05:44 AM,06:46 AM,12:09 PM,12:15 PM,03:02 PM,03:30 PM,05:32 PM,05:37 PM,06:54 PM,07:00 PM,12:15 PM,1:15 PM
53,02/23/2024,"AlAhad, 23 Safar, 2024",05:23 AM,05:43 AM,06:45 AM,12:09 PM,12:15 PM,03:03 PM,03:30 PM,05:33 PM,05:38 PM,06:55 PM,07:00 PM,12:15 PM,1:15 PM
54,02/24/2024,"AlEthnien, 24 Safar, 2024",05:20 AM,05:40 AM,06:41 AM,12:09 PM,12:15 PM,03:05 PM,03:30 PM,05:36 PM,05:41 PM,06:58 PM,07:00 PM,12:15 PM,1:15 PM
55,02/25/2024,"AthThulatha, 25 Safar, 2024",05:18 AM,05:38 AM,06:39 AM,12:08 PM,12:15 PM,03:06 PM,03:30 PM,05:37 PM,05:42 PM,06:59 PM,07:30 PM,12:15 PM,1:15 PM
56,02/26/2024,"AlArbia'a, 26 Safar, 2024",05:16 AM,05:36 AM,06:38 AM,12:08 PM,12:15 PM,03:07 PM,03:30 PM,05:39 PM,05:44 PM,07:00 PM,07:30 PM,12:15 PM,1:15 PM
57,02/27/2024,"AlKhamis, 27 Safar, 2024",05:15 AM,05:35 AM,06:36 AM,12:08 PM,12:15 PM,03:08 PM,03:30 PM,05:40 PM,05:45 PM,07:00 PM,07:30 PM,12:15 PM,1:15 PM
58,02/28/2024,"AlJumaa, 28 Safar, 2024",05:13 AM,05:33 AM,06:34 AM,12:08 PM,12:15 PM,03:09 PM,03:30 PM,05:41 PM,05:46 PM,07:01 PM,07:30 PM,12:15 PM,1:15 PM
59,02/29/2024,"AsSabt, 29 Safar, 2024",05:13 AM,05:33 AM,06:34 AM,12:08 PM,12:15 PM,03:09 PM,03:30 PM,05:41 PM,05:46 PM,07:01 PM,07:30 PM,12:15 PM,1:15 PM
60,03/01/2024,"AlAhad, 01 Rabi' Awwal, 2024",05:11 AM,05:31 AM,06:32 AM,12:08 PM,12:15 PM,03:10 PM,03:30 PM,05:43 PM,05:48 PM,07:04 PM,07:30 PM,12:15 PM,1:15 PM
61,03/02/2024,"AlEthnien, 02 Rabi' Awwal, 2024",05:09 AM,05:29 AM,06:31 AM,12:07 PM,12:15 PM,03:11 PM,03:30 PM,05:44 PM,05:49 PM,07:06 PM,07:30 PM,12:15 PM,1:15 PM
62,03/03/2024,"AthThulatha, 03 Rabi' Awwal, 2024",05:07 AM,05:27 AM,06:29 AM,12:07 PM,12:15 PM,03:12 PM,03:30 PM,05:45 PM,05:50 PM,07:07 PM,07:30 PM,12:15 PM,1:15 PM
63,03/04/2024,"AlArbia'a, 04 Rabi' Awwal, 2024",05:06 AM,05:26 AM,06:27 AM,12:07 PM,12:15 PM,03:13 PM,03:30 PM,05:47 PM,05:52 PM,07:08 PM,07:30 PM,12:15 PM,1:15 PM
64,03/05/2024,"AlKhamis, 05 Rabi' Awwal, 2024",05:04 AM,05:24 AM,06:25 AM,12:07 PM,12:15 PM,03:14 PM,03:30 PM,05:48 PM,05:53 PM,07:10 PM,07:30 PM,12:15 PM,1:15 PM
65,03/06/2024,"AlJumaa, 06 Rabi' Awwal, 2024",05:02 AM,05:22 AM,06:23 AM,12:07 PM,12:15 PM,03:15 PM,03:30 PM,05:50 PM,05:55 PM,07:11 PM,07:30 PM,12:15 PM,1:15 PM
